Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","The Hersam Research Group :: Home","http://www.hersam-group.northwestern.edu/index.html","../www.hersam-group.northwestern.edu\index.html","HTML","40334","Thu, 28 Feb 2013 13:58:57 GMT","200 OK","0",""
"Parsed","","http://www.hersam-group.northwestern.edu/css/style.css","../www.hersam-group.northwestern.edu\css\style.css","HTML","4637","Tue, 18 Sep 2012 04:08:02 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","","http://www.hersam-group.northwestern.edu/css/tango/skin.css","../www.hersam-group.northwestern.edu\css\tango\skin.css","HTML","4563","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved",".slides_container {width:900px;display:none;}.slides_container div {width:900px;height:290px;display:block;}.pagination {margin:0px auto 0;width:120px;}.pagination li {float:left;margin:0 1px;list-style:none;}.pagination li a {display:block;width:24px;height:0;padding-top:24px;background-image:url(images/pagination.png);background-position:0 0;float:left;overflow:hidden;}.pagination li.current a {background-position:0 -23px;}","http://www.hersam-group.northwestern.edu/images/pagination.png","../www.hersam-group.northwestern.edu\images\pagination.png","Images","3144","Sat, 08 Sep 2012 15:44:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","","http://www.hersam-group.northwestern.edu/js/jquery.min.js","../www.hersam-group.northwestern.edu\js\jquery.min.js","HTML","91556","Fri, 16 Sep 2011 21:53:23 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","","http://www.hersam-group.northwestern.edu/js/jquery.jcarousel.min.js","../www.hersam-group.northwestern.edu\js\jquery.jcarousel.min.js","HTML","15650","Fri, 16 Sep 2011 21:53:23 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","","http://www.hersam-group.northwestern.edu/js/slides.min.jquery.js","../www.hersam-group.northwestern.edu\js\slides.min.jquery.js","HTML","6784","Sat, 08 Sep 2012 14:33:06 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","","http://www.hersam-group.northwestern.edu/js/DD_belatedPNG.js","../www.hersam-group.northwestern.edu\js\DD_belatedPNG.js","HTML","7019","Fri, 16 Sep 2011 21:53:23 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/21.jpg","../www.hersam-group.northwestern.edu\images\21.jpg","Images","100680","Fri, 08 Feb 2013 14:23:51 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/20.gif","../www.hersam-group.northwestern.edu\images\20.gif","Images","85986","Sat, 08 Sep 2012 14:23:46 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/19.gif","../www.hersam-group.northwestern.edu\images\19.gif","Images","168969","Mon, 09 Jan 2012 03:36:10 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/18.gif","../www.hersam-group.northwestern.edu\images\18.gif","Images","232912","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/1.jpg","../www.hersam-group.northwestern.edu\images\1.jpg","Images","37657","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/2.jpg","../www.hersam-group.northwestern.edu\images\2.jpg","Images","53914","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/3.jpg","../www.hersam-group.northwestern.edu\images\3.jpg","Images","30327","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/4.jpg","../www.hersam-group.northwestern.edu\images\4.jpg","Images","28515","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/5.jpg","../www.hersam-group.northwestern.edu\images\5.jpg","Images","44063","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/6.jpg","../www.hersam-group.northwestern.edu\images\6.jpg","Images","26955","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/7.jpg","../www.hersam-group.northwestern.edu\images\7.jpg","Images","26486","Fri, 16 Sep 2011 21:53:21 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/8.jpg","../www.hersam-group.northwestern.edu\images\8.jpg","Images","39917","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/9.jpg","../www.hersam-group.northwestern.edu\images\9.jpg","Images","61250","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/10.jpg","../www.hersam-group.northwestern.edu\images\10.jpg","Images","31701","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/11.jpg","../www.hersam-group.northwestern.edu\images\11.jpg","Images","31107","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/12.jpg","../www.hersam-group.northwestern.edu\images\12.jpg","Images","21531","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/13.jpg","../www.hersam-group.northwestern.edu\images\13.jpg","Images","26784","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/14.jpg","../www.hersam-group.northwestern.edu\images\14.jpg","Images","33139","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/15.jpg","../www.hersam-group.northwestern.edu\images\15.jpg","Images","30598","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/16.jpg","../www.hersam-group.northwestern.edu\images\16.jpg","Images","29128","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Saved","","http://www.hersam-group.northwestern.edu/images/17.jpg","../www.hersam-group.northwestern.edu\images\17.jpg","Images","38795","Fri, 16 Sep 2011 21:53:22 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","The Hersam Research Group :: Mark Hersam","http://www.hersam-group.northwestern.edu/hersam.html","../www.hersam-group.northwestern.edu\hersam.html","HTML","6566","Thu, 28 Feb 2013 13:34:14 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","The Hersam Research Group :: Research","http://www.hersam-group.northwestern.edu/research.html","../www.hersam-group.northwestern.edu\research.html","HTML","44814","Thu, 11 Oct 2012 03:32:26 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","The Hersam Research Group :: Publications","http://www.hersam-group.northwestern.edu/publications.html","../www.hersam-group.northwestern.edu\publications.html","HTML","60295","Thu, 28 Feb 2013 13:45:49 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
"Parsed","The Hersam Research Group :: Members","http://www.hersam-group.northwestern.edu/members.html","../www.hersam-group.northwestern.edu\members.html","HTML","6827","Thu, 21 Mar 2013 18:54:34 GMT","200 OK","1","http://www.hersam-group.northwestern.edu/index.html"
